STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
3643.0,Benniganahalli Lake,D,4.6,7.4,394.0,5.0,1.5,260.0,3500.0,32.0,83.0,16.0,83.0,60.0,58.0,2.38,0.42,92.0,48.0,44.0,15.0,34.0,240.0,16.0,0.8966666666666666,0.5,7.0,0.44,18.0,1.5,2.2466666666666666,2025.0
3655.0,Mathikere Tank,D,5.4,7.1,204.0,5.0,1.0,320.0,3500.0,32.0,44.0,16.0,44.0,28.0,64.0,2.1399999999999997,0.51,52.0,32.0,20.0,8.0,19.0,114.0,114.0,0.7933333333333333,0.5,4.0,0.43,41.0,1.14,2.1133333333333333,2025.0
4094.0,Gangondanahalli Lake,E,2.6,7.6,1650.0,14.0,7.1,1100000000.0,3300000000.0,32.0,592.0,16.0,592.0,276.0,94.0,1.9,1.5,424.0,216.0,208.0,70.0,144.0,1120.0,26.0,0.69,0.5,34.0,0.42,40.0,3.0,1.98,2025.0
4095.0,Chikkabanavara Lake,D,6.5,7.0,438.0,4.0,1.9,3100.0,12000.0,32.0,156.0,16.0,156.0,72.0,41.0,26.95,0.4,188.0,104.0,84.0,18.0,42.0,298.0,14.0,0.6839999999999999,0.5,5.0,0.36,32.0,1.3,1.15,2025.0
4096.0,Andhrahalli Lake,E,6.5,6.8,1509.0,69.0,5.7,17000.0,220000.0,32.0,332.0,16.0,332.0,200.0,336.0,52.0,42.0,356.0,184.0,172.0,61.0,99.0,1008.0,24.0,0.6779999999999999,0.5,20.0,0.25,36.0,2.3,0.32,2025.0
4097.0,Kachohalli Lake,D,6.5,7.9,1315.0,4.0,5.6,270000.0,1100000.0,32.0,268.0,16.0,268.0,216.0,43.0,36.2,0.4,392.0,200.0,192.0,54.0,128.0,894.0,16.0,0.672,0.5,22.0,0.47,40.0,2.8,0.41,2025.0
4504.0,Sarakki Lake,D,4.9,7.7,473.0,9.0,1.8,310.0,4300.0,32.0,152.0,16.0,152.0,92.0,96.0,20.400000000000002,0.87,124.0,64.0,60.0,11.0,50.0,326.0,78.0,0.666,0.5,6.0,0.345,45.0,2.0,1.155,2025.0
4505.0,Nelamangala Lake,E,1.9,6.5,892.0,16.0,3.4,480.0,2800.0,32.0,204.0,16.0,204.0,148.0,176.0,4.6,4.1,240.0,124.0,116.0,37.0,87.0,596.0,12.0,0.66,0.5,18.0,0.22,42.0,2.44,1.9,2025.0
4506.0,Abbigere Lake,D,6.2,7.4,580.0,5.0,2.5,210.0,2200.0,32.0,152.0,16.0,152.0,96.0,48.0,10.657142857142857,0.4,160.0,88.0,72.0,24.0,57.0,394.0,18.0,0.49,0.5,11.0,0.33,42.0,2.0,1.335,2025.0
4507.0,Chelekere Lake,D,5.8,8.4,502.0,5.0,1.93,260.0,2800.0,32.0,120.0,16.0,120.0,64.0,48.0,16.714285714285715,0.4,136.0,74.0,62.0,15.0,59.0,344.0,86.0,0.32,0.5,9.0,0.31,46.0,2.21,0.77,2025.0
4508.0,Singapura Lake,D,6.2,7.0,448.0,4.0,1.72,310.0,3500.0,32.0,120.0,16.0,120.0,88.0,44.0,22.771428571428572,0.4,136.0,90.0,46.0,9.0,48.0,306.0,28.0,0.33499999999999996,0.5,9.0,0.26,42.0,1.8,0.32,2025.0
4509.0,Narasipura Lake,D,4.5,6.6,391.0,8.0,1.5,210.0,4300.0,32.0,128.0,16.0,128.0,68.0,88.0,28.82857142857143,0.44,144.0,78.0,66.0,16.0,62.0,258.0,90.0,0.35,0.5,10.0,0.23,46.0,2.23,0.9,2025.0
4510.0,Rachenahalli Lake,D,5.9,7.5,928.0,5.0,3.56,260.0,1500.0,32.0,128.0,16.0,128.0,108.0,44.0,34.885714285714286,0.4,172.0,108.0,64.0,15.0,300.0,638.0,24.0,0.3,0.5,17.0,0.32,77.0,9.94,0.77,2025.0
4511.0,Kogilu Kere,D,5.8,6.9,534.0,5.0,2.05,310.0,3500.0,32.0,152.0,16.0,152.0,72.0,48.0,40.94285714285714,0.4,164.0,92.0,72.0,9.0,48.0,366.0,26.0,0.34,0.5,9.0,0.29,37.0,1.64,0.88,2025.0
4512.0,Viswaneedam Lake,E,4.45,6.7,1593.0,45.0,6.5,1400000.0,4600000.0,32.0,356.0,16.0,356.0,196.0,264.0,47.0,37.0,380.0,196.0,184.0,49.0,110.0,1052.0,12.0,0.35600000000000004,0.5,36.0,0.28,36.0,2.5,0.32,2025.0
