STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
5563.0,"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East",D,5.6,8.4,463.0,6.0,1.41,490.0,2800.0,48.0,100.0,24.0,100.0,64.0,56.0,4.133333333333333,0.4,124.0,68.0,56.0,12.0,55.0,314.0,26.0,0.27,0.5,15.0,0.24,45.0,2.1,0.77,2025.0
5564.0,"Kannamangala Lake Hoskote Main Road , Bengalore",E,2.4,7.8,3090.0,18.0,11.4,210.0,2800.0,48.0,716.0,24.0,716.0,524.0,152.0,4.3,3.9,804.0,408.0,396.0,124.0,202.0,2068.0,14.0,0.69,0.5,60.0,0.32,33.0,3.1,1.97,2025.0
5565.0,Kannur Lake Near By Hennur Road Bengalore,E,1.1,8.0,5540.0,44.0,21.2,1700.0,7900.0,48.0,1290.0,24.0,1290.0,940.0,232.0,6.8,6.3,1510.0,770.0,740.0,211.0,398.0,3704.0,14.0,0.8,0.5,97.0,0.26,34.0,4.46,2.34,2025.0
5566.0,"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram , Bengaluru",D,6.1,8.2,387.0,4.0,1.49,310.0,2100.0,48.0,132.0,24.0,132.0,72.0,48.0,6.266666666666667,0.4,76.0,56.0,20.0,10.0,55.0,260.0,128.0,0.89,0.5,13.0,0.29500000000000004,57.0,2.76,2.27,2025.0
5567.0,"Doddakallasandra Lake,Bengaluru",D,5.2,7.7,667.0,5.4,2.6,240.0,5400.0,48.0,148.0,24.0,148.0,100.0,63.0,5.733333333333333,0.47,188.0,100.0,88.0,27.0,65.0,454.0,20.0,0.7975,0.5,5.0,0.33,35.0,2.1,1.205,2025.0
5568.0,"Ulsoor Lake Near Kalyani,Bengaluru",D,4.9,8.2,399.0,7.0,1.1,2600.0,14000.0,48.0,84.0,24.0,84.0,44.0,88.0,5.199999999999999,0.4,136.0,76.0,60.0,19.0,42.0,262.0,208.0,0.7050000000000001,0.5,13.0,0.3,37.0,1.6,0.14,2025.0
5569.0,"Byrasandra Upper Lake,Bengaluru",E,2.2,6.8,510.0,27.0,2.1,310.0,3500.0,48.0,108.0,24.0,108.0,36.0,192.0,4.666666666666666,0.4,172.0,92.0,80.0,52.0,34.0,334.0,12.0,0.6125,0.5,12.0,0.27,28.0,1.1,0.5,2025.0
5570.0,"Soulkere, Kaikondrahalli Vill,Bengaluru",D,6.1,7.0,742.0,4.0,2.8,230.0,2800.0,48.0,208.0,24.0,208.0,112.0,48.0,4.133333333333333,0.4,156.0,84.0,72.0,57.0,76.0,512.0,24.0,0.52,0.5,21.0,0.24,47.0,2.7,1.24,2025.0
5571.0,"Kudlu Doddakere, Kudlu Vill,Bengaluru",E,2.9,7.1,758.0,15.0,2.9,320.0,5400.0,48.0,176.0,24.0,176.0,124.0,124.0,3.6,3.1,204.0,108.0,96.0,31.0,74.0,516.0,20.0,0.36,0.5,16.0,0.33,42.0,2.26,1.05,2025.0
5572.0,"Kudlu Chikkakere, Bgp Layout Kudlu Vill
,Bengaluru",E,2.8,7.0,756.0,16.0,2.8,23.0,920.0,48.0,172.0,24.0,172.0,120.0,132.0,4.2,3.7,200.0,104.0,96.0,30.0,72.0,512.0,16.0,0.38,0.5,14.0,0.22,42.0,2.22,1.13,2025.0
