LAKE_NAME,DATE,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B11_mean,B12_mean,B2_stdDev,B3_stdDev,B4_stdDev,B5_stdDev,B6_stdDev,B7_stdDev,B8_stdDev,B8A_stdDev,B11_stdDev,B12_stdDev,B2_count,NDCI_mean,NDTI_mean,NDWI_mean,TSS_PROXY_mean,DO_PROXY_mean,TDS_PROXY_mean,LST_celsius,AIR_TEMP_celsius,RAINFALL_mm_14d,NDVI_CATCHMENT
Vijanapura,04/25,0.0270000000794728,0.0408791673059264,0.0254249998057882,0.0396416671574115,0.0241499998761961,0.0278458329848945,0.0225708332533637,0.022229166701436,0.0337625007765988,0.026691666804254,0.0017367354021977,0.0028383873111358,0.0034538320630127,0.0067639613870404,0.0133082206866755,0.0117436583608746,0.0064126976849565,0.0132260076906704,0.0091015825766248,0.0058464316873792,12.0,0.24239457026124,-0.2317137072483698,0.2201981140921513,0.0369000000258286,1.313357390021283,0.0337625007765988,31.870000000000005,,,2.6095359270333007e-05
B.Narayanapura,04/25,0.0444083337982495,0.0765250002344449,0.0568333324044942,0.090158333381017,0.0642666661490996,0.0694333352148532,0.0580000014354785,0.057399999971191,0.0481666668007771,0.03561666700989,0.0033968637563534,0.005663755634809,0.0054355053359971,0.0073881904598985,0.0047126313578685,0.0038409706248698,0.0038947616417941,0.0124561888614229,0.0081763730232284,0.008550373697536,6.0,0.2312958513696988,-0.1546802297234535,0.1370513538519541,0.0616541660080353,1.554605277067931,0.0481666668007771,31.600000000000023,,,2.1603836466189035e-05
Melinakere,04/25,0.014071428616132,0.0264571426170212,0.0163142858073115,0.0345857143402099,0.0237571424139397,0.0206714286468923,0.0196142859224762,0.0189857143642646,0.0297571431313242,0.023999999942524,0.0026857905965169,0.0029310437124492,0.0026394962224467,0.0033271306976296,0.0036593744530371,0.0073561856720194,0.0030187171592099,0.0034352909100312,0.0021386628208298,0.0025900906248322,7.0,0.3600750203643526,-0.23983938566276,0.150804545198168,0.0281071428741727,0.8862351701701091,0.0297571431313242,30.910000000000025,,,3.998536259589229e-05
Kelaginakere,04/25,0.0338609984086269,0.0542749828960427,0.0370295156631439,0.0633201691315352,0.0445068893438909,0.0456419699017787,0.0350925598476257,0.0350381271805517,0.0443041832652838,0.0343278415599151,0.005343315954226,0.0057719110168194,0.0038969646858383,0.0084908349490411,0.0112336298848368,0.012535401612212,0.0047111853919358,0.012800279984693,0.0147856629221918,0.011349654655976,45.0,0.2728060968617581,-0.19102405586895,0.2033716984201319,0.0495219225414692,1.337937706119484,0.0443041832652838,30.930000000000007,,,3.219373679683782e-05
Rachenahalli,04/25,0.0469381097908608,0.0804158536399283,0.0424585366087806,0.1155111279520319,0.0900295731475258,0.0874320123594526,0.0621964940687686,0.0514176829218319,0.0306454270470478,0.026013719610779,0.0051092258095274,0.007332300246892,0.0046105496046933,0.0161827200857192,0.0102804393910169,0.0103617022334581,0.0067373897672501,0.0056908256016345,0.0130757763576463,0.010959316236544,328.0,0.4587267111169129,-0.3092767428152445,0.128852894370694,0.055528125044231,3.2709720693058593,0.0306454270470478,31.636470588235316,25.85190099080404,,3.357988246649666e-05
Amruthahalli,04/25,0.0203736842193297,0.0390407894002763,0.0237407893628666,0.0372276317916418,0.0237657894919577,0.0274776315904761,0.0240855264281363,0.0234092105621177,0.0338131578050945,0.0265710525900909,0.0078748996990428,0.0059169788697817,0.0055669001866371,0.0049501956209538,0.0061821271923996,0.0086928638097588,0.0065830414119849,0.0076653427482463,0.0057864140400427,0.0037629885787293,38.0,0.2330357593141104,-0.2567758979765992,0.2485126294195652,0.0364065789372513,1.0839176345190251,0.0338131578050945,30.81476190476195,25.85190099080404,,2.2816615860702387e-05
Nagavara,04/25,0.031190831481607,0.0618019548548137,0.0342093840882638,0.0764534837446094,0.0502592924222261,0.0517556358445883,0.0404247650425074,0.0327357617312838,0.0303011223262556,0.0264763262817692,0.0033496158951381,0.003854845851698,0.0032199361399084,0.0048954723079002,0.0056436555125644,0.0067161014496858,0.0048242100056133,0.0063770245625376,0.0066328816347839,0.0049489758102367,442.0,0.3865220723100911,-0.2921706658582021,0.2015638923557884,0.0453663175191214,1.99154670444824,0.0303011223262556,31.174250000000058,,,2.673582078444833e-05
Herohalli,04/25,0.0408807751275625,0.0782382002340084,0.0395880936165843,0.1019447417901669,0.0681310497071909,0.0709495668874939,0.0541810042781306,0.0418420180138403,0.0291819806978814,0.0251026051672504,0.0070349105353517,0.0080603873947262,0.0057779116513031,0.0061264710239789,0.0100039921101389,0.012075401468238,0.0086518439766229,0.0120657461579991,0.0136103449521142,0.0084719681860272,160.0,0.4246091789629011,-0.3283124427853075,0.1742805270917439,0.0552974840806641,3.0933016616302145,0.0291819806978814,32.08090909090914,,,2.6159462090399637e-05
Hebbal,04/25,0.0283906306912417,0.0467969670671995,0.029396525579573,0.0626987466132632,0.0351367466347987,0.0360794851482704,0.0279887363029663,0.0232068956237197,0.0273685872463934,0.0226215452864445,0.0071878109890387,0.0060083535080956,0.0057141888498264,0.0053326873395641,0.0068755482754601,0.0076408719948144,0.0054862105197565,0.0082196708598244,0.005869373083554,0.0042117873967968,842.0,0.3629443239337638,-0.2534129094414601,0.300343712873121,0.0377320268064459,1.7317222379375468,0.0273685872463934,31.15955882352945,,,3.617283771617838e-05
Mahadevapura,04/25,0.0364004125795357,0.0743001541869304,0.0409603302242297,0.0905043169876483,0.0541981148152587,0.0566194047701573,0.0449810214780491,0.0389157347398475,0.0367229806952334,0.029892615677134,0.0043913987562908,0.0035798902376651,0.0029123185425849,0.0066370279692356,0.0085710796315641,0.0090513618751949,0.0054729054513563,0.0122147422554543,0.0106627600247972,0.0065291080101514,139.0,0.3748182116954591,-0.2928532592643756,0.2750643832927968,0.0557091427025371,2.0662687480249713,0.0367229806952334,31.08000000000004,,,2.12467594134791e-05
