LAKE_NAME,DATE,IMAGE_COUNT,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B11_mean,B12_mean,B2_stdDev,B3_stdDev,B4_stdDev,B5_stdDev,B6_stdDev,B7_stdDev,B8_stdDev,B8A_stdDev,B11_stdDev,B12_stdDev,B2_count
Nagarabhavi (Un-named Lake on map),08/23,1,,,,,,,,,,,,,,,,,,,,,0
Sompura Govt.lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Lakshmipura Lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Amrutnagar Lake,08/23,1,0.08958799988031388,0.11902000099420547,0.08837199985980987,0.11530799895524979,0.08310000002384185,0.08944400042295456,0.08437999993562699,0.08215200006961823,0.07720399975776672,0.05929200023412704,0.007094410723808803,0.005788265155528715,0.004407767741313315,0.004723889690580697,0.006600787664655682,0.007731652224091221,0.009885787248921937,0.00816823612641106,0.009813153708688868,0.005772273438061853,25
Hoysalanagara Lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Basavanagar Lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Ajjegowdana katte,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Kodigehalli kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Kommaghatta Govt. Lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Manganahalli Lake,08/23,1,0.06071204014346751,0.07731939811122457,0.05659197315723202,0.06406688963041257,0.05077458214151819,0.05656086967441948,0.04877458195074346,0.054989966573224816,0.06207458210180834,0.05108294328269751,0.006623904357794909,0.008990360285011476,0.008008954121516632,0.010384971538626967,0.014377016962146725,0.01662797667641285,0.00862633183315665,0.019545582347784127,0.01660044211154468,0.017319042523810578,299
Bhattarahalli kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Thirumenahalli lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Avalahali kere,08/23,1,0.05226955487021202,0.06297782193188257,0.045139904706983196,0.07613529426316673,0.05493569163833589,0.05517893490220149,0.04365914154335833,0.042223132071818194,0.03774880775693206,0.03138179656278064,0.014981758426074555,0.02044347371847384,0.014060279627269454,0.02477882670793138,0.01874328508627568,0.01827277875118667,0.01461862874657554,0.013832860430705645,0.0059902931164372295,0.004820024277529679,1258
Begur Lake,08/23,1,0.10391666616002719,0.11105833264688651,0.0917083341628313,0.12015833271046479,0.09445833290616672,0.09797499887645245,0.08942500067253907,0.09080833320816357,0.08624166684846084,0.07384166680276394,0.004358292986781826,0.004289222891535492,0.003436436467230802,0.0032177777558789742,0.005749849845517296,0.0067900811745681446,0.0037760478884181045,0.008437856249566838,0.007511930610397954,0.006689725143130769,12
meenakshi lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
