LAKE_NAME,DATE,IMAGE_COUNT,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B11_mean,B12_mean,B2_stdDev,B3_stdDev,B4_stdDev,B5_stdDev,B6_stdDev,B7_stdDev,B8_stdDev,B8A_stdDev,B11_stdDev,B12_stdDev,B2_count,NDCI_mean,NDTI_mean,NDWI_mean,TSS_PROXY_mean,DO_PROXY_mean,TDS_PROXY_mean,LST_celsius,AIR_TEMP_celsius,RAINFALL_mm_14d,NDVI_CATCHMENT
Atturu kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.334050632911417,22.914626057942712,34.13089629323192,
Veerasagara kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.27000000000004,22.914626057942712,34.13089629323192,
Dodda bettahalli,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.930000000000007,,20.572902572712586,
Dasarahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.08000000000004,,20.572902572712586,
Doddabidarakallu lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.915483870967783,,31.797011615781276,
Allasandra Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.35666666666668,,20.572902572712586,
Andhrahalli Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.27000000000004,,32.171148583883564,
Handrahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.970000000000027,,32.171148583883564,
Narasappanahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.03000000000003,22.983296966552757,29.99647745678901,
Valagere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.572902572712586,
Shivapura New tank,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.572902572712586,
Agrahara Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.610000000000014,,26.377012683081453,
Chokkanahalli lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.03000000000003,,26.377012683081453,
Jakkuru lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.957883211678844,22.914626057942712,26.377012683081453,
palanahalli,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.810000000000045,,32.20603780869898,
Kattigenahalli lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.681428571428622,,32.20603780869898,
Kogilu kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.99000000000001,,32.20603780869898,
Venkateshapura lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.259000000000015,,26.377012683081453,
Bellihalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.53000000000003,,32.20603780869898,
B. Channasandra lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.614000000000036,,14.039539110304826,
Byappanahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.59761904761908,22.988295491536462,10.95517071711067,
Kowdenahalli Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.025555555555563,22.988295491536462,26.377012683081453,
Krishnarajapuram kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.86975609756102,,26.377012683081453,
Basavanapura kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.220000000000027,,27.071648760531083,
Shegehalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.192105263157924,,27.071648760531083,
Mangamanapalya Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.99000000000001,,10.95517071711067,
Hoodi kere-2,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.860000000000014,,27.071648760531083,
Jimkenahalli Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.350000000000023,,26.377012683081453,
Kodigehalli lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.628695652173935,,22.323408652517976,
Gangashetti kere/ Devasandra kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.510000000000048,,26.377012683081453,
Vijinapura kere2,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.130000000000052,,26.377012683081453,
B.Narayanapura kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.910000000000025,,10.95517071711067,
Melinakere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.57000000000005,,10.95517071711067,
Kelaginakere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.690000000000055,,10.95517071711067,
Rachenahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.700980392156914,22.914626057942712,26.377012683081453,
Amruthahalli Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.052857142857174,22.914626057942712,26.100626487349604,
Nagawara Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.444750000000038,,26.377012683081453,
Herohalli Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.614545454545492,,18.243210320858683,
Hebbal  kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.801029411764727,,20.572902572712586,
Mahadevapura kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.370000000000005,,10.95517071711067,
Vibhutipura kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.79000000000002,,10.95517071711067,
Rajapalya Hoodikere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.598181818181832,,12.510379095957552,
Achanakere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.980000000000018,,10.95517071711067,
"Yekkalagatta kere,Mahadevepura Kere",07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.890000000000043,,10.95517071711067,
Pattaduru Agrahara kere-2,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.680000000000007,,12.510379095957552,
Nallurahallikere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.680000000000007,,12.510379095957552,
Thubarahalli lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.77000000000004,,12.510379095957552,
Sheelavantana kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.870000000000005,,12.510379095957552,
Doddanekundi Kunte,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.646666666666686,,12.510379095957552,
Chinnappanahalli  kere1,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.970000000000027,,12.510379095957552,
Doddanekundi kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.76776699029128,,10.95517071711067,
Kundalahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.220000000000027,,12.510379095957552,
Acchanakere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.130000000000052,,12.510379095957552,
Varthur lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.155633802816922,22.988295491536462,12.510379095957552,
Narasipura Lake-1,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.05000000000001,,20.572902572712586,
Narasipura Lake-2,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.05000000000001,,20.572902572712586,
Ulsoor Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.263962264150962,22.988295491536462,10.95517071711067,
Gunduru Lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,29.210000000000036,,58.20319805743581,1.6556447092071273E-5
Doddebele,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,30.54000000000002,,68.37322973900604,4.693602809274462E-5
Somapura,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,29.730000000000018,24.033181762695335,68.37322973900604,1.7483894206584625E-5
Mailasandra,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,30.081904761904788,,91.75214628988286,3.1846158730587444E-5
Kengeri 1,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,29.78000000000001,,91.75214628988286,2.4508634534921114E-5
Kengeri 2,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,30.05000000000001,,91.75214628988286,2.190342363163625E-5
Chenvinayanahalli,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,30.270000000000017,,68.37322973900604,2.8211954798247818E-5
Annamma kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,29.692500000000038,,58.99259781365779,1.5980726351638347E-5
Deevatigeramnahalli kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,28.83000000000004,,68.94416734292682,1.3389420645977806E-5
Devarakere,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,29.150000000000034,,55.67540797056812,9.344503644754401E-7
Doraikere,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,29.89695652173916,,68.94416734292682,6.588632986688442E-6
Goudanakere,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,29.52000000000004,,68.94416734292682,1.0871147842425564E-5
Gubbalal kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,28.49000000000001,,55.67540797056812,2.588297758777098E-5
Halagevaderahalli kere-2,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,29.04000000000002,,68.94416734292682,2.5135135914095725E-5
Herohalli Thotadakere,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,29.170000000000016,,91.75214628988286,5.2440761169030616E-5
Hosakerehalli Kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,28.843571428571458,,68.94416734292682,2.2621711989353775E-5
Kempambudhi lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,30.468000000000032,23.6086415608724,68.94416734292682,1.6145916807436472E-5
Laggeri Lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,30.53000000000003,,71.19446985834091,1.4566020869498333E-5
Mallathahalli Lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,30.440000000000055,,91.75214628988286,2.4728533812637446E-5
Moge kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,29.345454545454572,,68.94416734292682,8.692614124323849E-6
